"order_id","order_status","weather_precipitation","delivery_duration_actual","delivery_duration_estimated","customer_loyalty_tier","discount_code","discount_type","total_amount","delivery_fee"
4002,completed,25.6,59.0,48,Gold,PROMO-BFUZ,percentage,25.42,3.48
4879,completed,0.4,57.0,54,Bronze,"","",22.7,5.24
1124,completed,0.0,41.0,29,Bronze,"","",27.74,5.95
6764,completed,0.0,50.0,42,Bronze,"","",31.85,7.27
9073,completed,16.1,69.0,52,Bronze,"","",28.46,4.06
7005,completed,1.5,37.0,35,Bronze,"","",64.0,4.95
9422,completed,0.5,44.0,27,Bronze,"","",139.07,3.1
7068,completed,0.0,43.0,32,Gold,"","",37.19,3.84
9274,completed,0.0,41.0,32,Silver,PROMO-XWIT,percentage,38.93,2.56
1942,completed,0.0,27.0,25,Silver,"","",18.76,3.18
6495,completed,0.0,55.0,45,Bronze,"","",39.29,4.07
3792,completed,0.0,47.0,38,Silver,"","",18.89,4.54
3744,completed,3.5,71.0,54,Bronze,PROMO-GCOK,free_delivery,26.75,6.23
4851,completed,0.0,34.0,38,Silver,"","",33.46,4.74
1120,completed,0.0,42.0,42,Silver,"","",26.17,2.28
5995,completed,0.0,53.0,44,Bronze,"","",17.42,6.52
2456,completed,0.0,56.0,43,Bronze,"","",36.04,5.19
1130,completed,11.0,65.0,47,Bronze,"","",18.43,7.63
3685,completed,0.0,33.0,29,Silver,"","",37.9,5.8
1600,completed,0.0,54.0,48,Bronze,"","",39.77,5.19
5652,completed,0.0,63.0,54,Bronze,"","",18.47,3.76
10229,completed,0.0,45.0,33,Silver,PROMO-BZXO,fixed_amount,14.79,3.41
5931,completed,0.0,32.0,33,Silver,"","",22.54,3.37
7530,completed,0.8,72.0,53,Bronze,"","",33.75,4.43
10475,completed,0.0,38.0,35,Bronze,PROMO-CXEK,percentage,14.02,3.02
4809,completed,0.0,29.0,31,Bronze,"","",44.85,7.06
1756,completed,0.0,42.0,31,Silver,PROMO-GPTV,fixed_amount,27.89,6.82
8641,completed,0.0,52.0,38,Bronze,"","",70.48,6.36
7599,completed,0.0,53.0,48,Bronze,"","",40.37,2.28
8659,completed,0.0,45.0,41,Bronze,"","",54.86,2.42
1357,completed,0.0,41.0,40,Bronze,"","",29.47,5.81
5668,cancelled,0.0,,47,Bronze,PROMO-JZOF,percentage,18.35,6.48
3896,completed,8.6,64.0,48,Bronze,"","",29.23,2.15
10676,completed,0.0,38.0,36,Bronze,"","",32.65,3.73
5399,completed,5.9,58.0,56,Silver,PROMO-GJKN,fixed_amount,62.05,2.81
3393,completed,0.0,37.0,39,Silver,PROMO-FLPF,free_delivery,32.29,3.38
5680,completed,1.6,64.0,41,Bronze,PROMO-JZNE,free_delivery,77.83,5.1
4602,completed,0.0,28.0,32,Bronze,"","",32.83,2.65
2578,completed,0.0,29.0,25,Bronze,"","",20.84,3.37
7363,completed,0.0,61.0,53,Bronze,PROMO-HUKW,free_delivery,17.38,5.38
4614,completed,0.0,50.0,50,Bronze,"","",80.19,5.04
5732,completed,0.0,48.0,46,Bronze,"","",20.01,7.14
3948,completed,0.0,55.0,43,Gold,"","",8.97,2.89
1087,completed,0.0,52.0,41,Gold,"","",14.06,4.21
9423,completed,2.1,41.0,34,Bronze,"","",16.69,7.54
6414,completed,0.0,57.0,50,Silver,"","",37.44,6.76
2010,completed,0.0,61.0,48,Bronze,"","",18.96,5.57
4945,completed,0.0,19.0,23,Gold,"","",35.39,6.6
4424,completed,0.0,42.0,45,Bronze,"","",13.0,4.68
9192,completed,0.0,45.0,45,Bronze,"","",35.83,7.45
3981,completed,0.0,54.0,43,Bronze,"","",30.63,5.59
1009,completed,0.0,47.0,38,Silver,PROMO-ODXF,free_delivery,18.32,6.16
8185,completed,0.0,51.0,42,Silver,"","",31.61,5.9
4063,completed,0.0,54.0,54,Bronze,PROMO-QATV,free_delivery,7.22,6.03
5114,completed,0.0,42.0,40,Gold,"","",16.87,5.84
1291,completed,5.5,53.0,36,Bronze,"","",14.85,2.43
5713,completed,0.3,29.0,22,Bronze,"","",58.93,5.61
3658,completed,0.5,46.0,38,Bronze,"","",24.04,6.69
5967,completed,0.0,30.0,35,Silver,"","",69.87,1.99
9175,completed,0.0,37.0,27,Silver,"","",38.1,7.34
8749,completed,9.3,45.0,35,Bronze,"","",51.0,7.7
3505,completed,0.0,39.0,33,Bronze,PROMO-VJCU,fixed_amount,29.75,2.76
8108,completed,0.0,58.0,54,Silver,PROMO-SKMA,percentage,37.36,5.2
1249,completed,0.0,56.0,49,Bronze,"","",37.92,2.65
3264,cancelled,4.1,,43,Bronze,"","",13.66,3.69
7621,completed,0.0,38.0,38,Gold,"","",41.69,5.72
4234,completed,0.0,59.0,49,Silver,PROMO-ARSN,free_delivery,60.22,3.81
3466,completed,0.0,39.0,41,Gold,"","",14.04,4.18
8730,completed,0.0,50.0,41,Silver,PROMO-WJYF,percentage,13.48,6.47
3790,completed,0.0,49.0,43,Silver,"","",18.63,5.44
6338,completed,0.0,42.0,42,Bronze,"","",33.36,5.1
5488,cancelled,0.0,,46,Bronze,"","",29.54,3.94
3459,completed,0.0,35.0,28,Bronze,"","",51.35,6.21
6148,completed,3.4,57.0,46,Bronze,"","",61.09,4.53
6263,cancelled,0.0,,44,Bronze,"","",32.86,7.38
6477,completed,0.0,59.0,52,Bronze,"","",18.06,5.6
3641,completed,0.0,39.0,44,Silver,"","",17.19,5.22
1992,completed,0.0,31.0,35,Gold,"","",124.51,6.81
8709,completed,0.0,43.0,30,Silver,"","",16.49,4.9
6808,cancelled,0.0,,55,Bronze,"","",58.76,3.67
7195,completed,0.0,43.0,38,Silver,"","",37.6,2.92
2034,completed,0.0,53.0,43,Bronze,"","",111.25,5.36
10985,completed,0.0,43.0,47,Silver,"","",26.02,4.54
1163,completed,0.0,32.0,36,Silver,"","",37.15,4.37
10631,completed,0.0,53.0,51,Gold,"","",24.96,4.09
5587,completed,0.0,71.0,57,Silver,"","",33.02,6.02
1146,completed,0.0,44.0,40,Silver,"","",41.03,5.1
2597,completed,0.0,62.0,54,Gold,PROMO-IFUP,fixed_amount,52.93,5.21
5075,completed,3.7,30.0,27,Bronze,"","",10.35,3.84
7053,completed,0.7,65.0,48,Bronze,PROMO-PUDT,percentage,36.04,5.67
4324,completed,0.0,35.0,38,Bronze,PROMO-EGJV,percentage,13.48,4.41
5243,completed,0.0,69.0,58,Silver,"","",40.78,6.61
3327,completed,0.0,37.0,26,Gold,"","",32.45,5.17
7037,completed,0.0,62.0,53,Bronze,"","",26.07,3.73
10607,completed,0.0,28.0,32,Silver,"","",27.71,2.88
5027,completed,1.0,64.0,42,Gold,"","",18.3,6.19
5314,completed,0.0,48.0,34,Bronze,"","",109.72,4.22
2772,completed,15.5,59.0,41,Silver,"","",34.97,2.38
